date,ticker,message_count,sentiment_mean,sentiment_std,sentiment_sum,sentiment_sum_sq
2019-11-01,AMZN,327,0.13191157037503334,0.5755436199655526,43.1350835126359,114.00891652836816
2019-11-01,NVDA,108,0.2330288923522285,0.5096953650969619,25.167120374040678,33.92191762620103
2019-11-02,AMZN,54,0.2753844627920814,0.5280647345254629,14.870760990772396,19.153204174623465
2019-11-02,NVDA,28,0.2671912160835096,0.38956159008928337,7.481354050338268,6.248182595902115
2019-11-03,AMZN,48,0.22760808723493633,0.43485256344937173,10.925188187276945,11.56330527903534
2019-11-03,NVDA,19,0.2882062301260272,0.4523061716183461,5.475918372394517,5.465230375382524
2019-11-04,AMZN,311,0.1906285179895723,0.520219474923303,59.28546909475699,95.46690306167748
2019-11-04,NVDA,168,0.3814278206943224,0.4784110549233326,64.07987387664616,62.893205738575986
2019-11-05,AMZN,299,0.10234491281907532,0.5979839962507877,30.60112893290352,110.04974294464984
2019-11-05,NVDA,118,0.3082634129875213,0.5351368263974117,36.37508273252752,45.00493506090222
2019-11-06,AMZN,285,0.10244112583040668,0.5534674005705639,29.195720861665905,90.2937991103854
2019-11-06,NVDA,93,0.2610517835685162,0.5335619908444649,24.277815871872008,32.813788155373736
2019-11-07,AMZN,454,0.024142003534330953,0.5924850175584655,10.960469604586253,159.6360848941217
2019-11-07,NVDA,124,0.21946422238796648,0.5200801316841273,27.213563576107845,39.512338146835816
2019-11-08,AMZN,309,0.07862844498802435,0.5765115503944384,24.296189501299523,104.61133203072504
2019-11-08,NVDA,94,0.22959724996744238,0.5216108580744232,21.582141496939585,30.53052173865234
2019-11-09,AMZN,56,0.1917588052788882,0.5493824216196461,10.73849309561774,18.961179136852575
2019-11-09,NVDA,39,0.36485166929495066,0.4481225175162321,14.229215102503076,13.023290720403514
2019-11-10,AMZN,36,0.3152371878289462,0.45600398162230693,11.348538761842065,11.063308170445184
2019-11-10,NVDA,36,0.33515163622925886,0.36095924072868985,12.065458904253319,8.734254938444943
2019-11-11,AMZN,309,0.10329711936567955,0.5492955893673251,31.91880988399498,96.53034526460218
2019-11-11,NVDA,172,0.29690019797254896,0.47430308396688986,51.06683405127842,53.85546059886231
2019-11-12,AMZN,227,0.15235720573214706,0.558629975893036,34.585085701197386,76.10859815978091
2019-11-12,NVDA,154,0.3419640242082805,0.4455711216006897,52.66245972807519,48.58284481161157
2019-11-13,AMZN,474,0.0827058747583678,0.5546440302938919,39.20258463546634,149.05890421653407
2019-11-13,NVDA,121,0.18994062572375156,0.4788017526379604,22.982815712573938,32.10475571517105
2019-11-14,AMZN,334,0.08708791013857249,0.48369217978599965,29.087361986283213,80.67517124539758
2019-11-14,NVDA,1599,0.14386189954263334,0.55075922453979,230.0351773686707,518.1271193195412
2019-11-15,AMZN,565,-0.03643377329680277,0.5858870640212047,-20.585081912693568,194.69395546757696
2019-11-15,NVDA,960,0.1884555408264229,0.5602441422382873,180.91731919336598,335.41343018927415
2019-11-16,AMZN,88,0.1895258117239626,0.47778974629271004,16.67827143170871,23.24987059754297
2019-11-16,NVDA,74,0.2917049142447099,0.49558597500965484,21.58616365410853,24.471593955938
2019-11-17,AMZN,71,0.07570149718855941,0.5635725685825046,5.374806300387718,22.957477728204267
2019-11-17,NVDA,29,0.3070777493031246,0.472500683151474,8.905254729790613,9.209055551174785
2019-11-18,AMZN,481,0.1083346797400706,0.5471074114640403,52.10898095497396,149.62126572888107
2019-11-18,NVDA,440,0.3909071522656384,0.4653171849679407,171.99914699688088,162.5045331003247
2019-11-19,AMZN,357,0.15725170402345442,0.5028540906293221,56.13885833637323,99.09974955248934
2019-11-19,NVDA,267,0.19959743278212705,0.5451928853100725,53.292514552827924,89.99886943670533
2019-11-20,AMZN,399,0.12172816715694562,0.5685949146186872,48.569538695621304,134.90905152023896
2019-11-20,NVDA,355,0.22315824283385308,0.577433514970038,79.22117620601784,136.04631827214786
2019-11-21,AMZN,380,0.04697601518066796,0.6054667645028643,17.850885768653825,140.1427645895321
2019-11-21,NVDA,192,0.19076389307338104,0.5950770517474644,36.62666747008916,74.97745160005762
2019-11-22,AMZN,348,0.15229578158816848,0.5534195818327525,52.99893199268263,114.65459904863044
2019-11-22,NVDA,128,0.17575049090282846,0.5881362444928766,22.496062835562043,48.22943707376255
2019-11-23,AMZN,66,0.09157144995476825,0.46638327378696626,6.043715697014704,14.90931344199442
2019-11-23,NVDA,22,0.23099789396986703,0.4575279441595272,5.081953667337075,5.779220627517862
2019-11-24,AMZN,71,0.20422941294144575,0.42709063679729437,14.50028831884265,15.912240625673146
2019-11-24,NVDA,25,0.17988650866784156,0.4038607655173822,4.497162716696039,4.886566848124786
2019-11-25,AMZN,342,0.2835738762674651,0.5088074880189526,96.98226568347307,116.04032748260518
2019-11-25,NVDA,363,0.39458866398871334,0.5029824558215558,143.23568502790295,148.3550379544032
2019-11-26,AMZN,426,0.32561703136998577,0.49283253651967135,138.71285536361393,148.6358134326822
2019-11-26,NVDA,213,0.16791397345333225,0.5934995162783137,35.76567634555977,81.03303377864097
2019-11-27,AMZN,580,0.3129024961395269,0.5309454657397203,181.48344776092563,220.2904146143508
2019-11-27,NVDA,128,0.22150185110967868,0.5900482724551663,28.35223694203887,50.844164335659585
2019-11-28,AMZN,120,0.32896458060519457,0.4745705116042,39.47574967262335,40.01218389324284
2019-11-28,NVDA,29,0.2874321118157742,0.3928504899504337,8.335531242657453,6.871513064357975
2019-11-29,AMZN,439,0.181866275853051,0.5167509079322684,79.83929509948939,131.7469041391105
2019-11-29,NVDA,61,0.25113159465817275,0.5440888414934509,15.319027274148539,21.905084461667787
2019-11-30,AMZN,105,0.3451425707189455,0.4557108740173851,36.23996992548928,34.31355845611799
2019-11-30,NVDA,23,0.13889281572166667,0.43013061299134336,3.1945347615983337,4.698981845302238
