date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-01-25,AAPL,0.0048518824800284,0.5403474116051858,66.0,66,0.0,stocktwits
2026-01-25,AMZN,0.1576663741871016,0.5897709500508121,32.0,32,0.0,stocktwits
2026-01-26,AAPL,0.2044939033808113,0.5185097700076392,381.0,381,0.0,stocktwits
2026-01-26,AMZN,0.1054859517983371,0.4979868713139886,124.0,124,0.0,stocktwits
2026-01-27,AAPL,0.1634850057854682,0.5449233149107242,349.0,349,0.0,stocktwits
2026-01-27,AMZN,0.2133705271452523,0.5082527142385379,209.0,209,0.0,stocktwits
2026-01-28,AAPL,0.0437890548407385,0.560549426783198,317.0,317,0.0,stocktwits
2026-01-28,AMZN,0.0159010022035168,0.5726795951193469,273.0,273,0.0,stocktwits
2026-01-29,AAPL,0.0690391294060684,0.5863261042883952,1872.0,1872,0.0,stocktwits
2026-01-29,AMZN,0.0549875351261917,0.544395055471862,183.0,183,0.0,stocktwits
2026-01-29,TSLA,-0.0549244176243033,0.5766064060874638,367.0,367,0.0,stocktwits
2026-01-30,AAPL,0.0585452877099768,0.5937867554949534,1218.0,1218,0.0,stocktwits
2026-01-30,AMZN,0.0556806632283529,0.5217957593834911,164.0,164,0.0,stocktwits
2026-01-30,TSLA,-0.0494411766613739,0.5757187775580963,2148.0,2148,0.0,stocktwits
2026-01-31,AAPL,0.177087774136248,0.5322540318523097,71.0,71,0.0,stocktwits
2026-01-31,AMZN,0.0701548743724696,0.5238294373604024,59.0,59,0.0,stocktwits
2026-01-31,TSLA,-0.1719880039602128,0.5196887060279609,670.0,670,0.0,stocktwits
2026-02-01,AAPL,0.2645108951333289,0.476574215336554,75.0,75,0.0,stocktwits
2026-02-01,AMZN,0.0601948633929234,0.5383601357553124,97.0,97,0.0,stocktwits
2026-02-01,TSLA,-0.1519396898493984,0.5452150633237371,453.0,453,0.0,stocktwits
2026-02-02,AAPL,0.2589815984672074,0.5440756079457245,496.0,496,0.0,stocktwits
2026-02-02,AMZN,0.1442391432225935,0.5084316736224922,161.0,161,0.0,stocktwits
2026-02-02,TSLA,-0.0537282365885354,0.5689298064471886,1307.0,1307,0.0,stocktwits
2026-02-03,AAPL,0.173968585116854,0.5679210316692354,314.0,314,0.0,stocktwits
2026-02-03,AMZN,0.1672684318149274,0.5575897259843992,238.0,238,0.0,stocktwits
2026-02-03,TSLA,-0.041142530897759,0.5903855675699529,1285.0,1285,0.0,stocktwits
2026-02-04,AAPL,0.1832963539671668,0.5561306454743737,466.0,466,0.0,stocktwits
2026-02-04,AMZN,0.1711187787784976,0.5459035383091583,282.0,282,0.0,stocktwits
