date,ticker,message_count,sentiment_mean,sentiment_std
2013-04-11,NVDA,16,0.0,0.0
2013-04-12,NVDA,44,0.0,0.0
2013-04-13,NVDA,4,0.0,0.0
2013-04-14,NVDA,11,0.0,0.0
2013-04-15,NVDA,11,0.0,0.0
2013-04-16,NVDA,1,0.0,0.0
2013-04-17,NVDA,8,0.0,0.0
2013-04-18,NVDA,8,0.0,0.0
2013-04-19,NVDA,7,0.0,0.0
2013-04-20,NVDA,2,0.0,0.0
2013-04-22,NVDA,1,0.0,0.0
2013-04-23,NVDA,5,0.0,0.0
2013-04-24,NVDA,37,0.0,0.0
2013-04-25,NVDA,11,0.0,0.0
2013-04-26,NVDA,6,0.0,0.0
2013-04-28,NVDA,1,0.0,0.0
2013-04-29,NVDA,5,0.0,0.0
2013-04-30,NVDA,10,0.0,0.0
2013-05-01,NVDA,12,0.0,0.0
2013-05-02,NVDA,3,0.0,0.0
2013-05-03,NVDA,2,0.0,0.0
2013-05-04,NVDA,2,0.0,0.0
2013-05-07,NVDA,1,0.0,0.0
2013-05-08,NVDA,8,0.0,0.0
2013-05-09,NVDA,29,0.0,0.0
2013-05-10,NVDA,33,0.0,0.0
2013-05-11,NVDA,3,0.0,0.0
2013-05-12,NVDA,2,0.0,0.0
2013-05-13,NVDA,5,0.0,0.0
2013-05-14,NVDA,9,0.0,0.0
2013-05-15,NVDA,7,0.0,0.0
2013-05-16,NVDA,3,0.0,0.0
2013-05-17,NVDA,3,0.0,0.0
2013-05-18,NVDA,1,0.0,0.0
2013-05-19,NVDA,3,0.0,0.0
2013-05-20,NVDA,4,0.0,0.0
2013-05-21,NVDA,10,0.0,0.0
2013-05-22,NVDA,7,0.0,0.0
2013-05-23,NVDA,4,0.0,0.0
2013-05-24,NVDA,5,0.0,0.0
2013-05-25,NVDA,1,0.0,0.0
2013-05-26,NVDA,1,0.0,0.0
2013-05-27,NVDA,1,0.0,0.0
2013-05-28,NVDA,2,0.0,0.0
2013-05-29,NVDA,2,0.0,0.0
2013-05-30,NVDA,4,0.0,0.0
2013-05-31,NVDA,4,0.0,0.0
2013-06-02,NVDA,1,0.0,0.0
2013-06-03,NVDA,9,0.0,0.0
2013-06-04,NVDA,5,0.0,0.0
2013-06-05,NVDA,3,0.0,0.0
2013-06-06,NVDA,3,0.0,0.0
2013-06-07,NVDA,1,0.0,0.0
2013-06-10,NVDA,4,0.0,0.0
2013-06-11,NVDA,3,0.0,0.0
2013-06-12,NVDA,1,0.0,0.0
2013-06-13,NVDA,2,0.0,0.0
2013-06-14,NVDA,1,0.0,0.0
2013-06-15,NVDA,1,0.0,0.0
2013-06-17,NVDA,5,0.0,0.0
2013-06-18,NVDA,10,0.0,0.0
2013-06-19,NVDA,50,0.0,0.0
2013-06-20,NVDA,6,0.0,0.0
2013-06-21,NVDA,2,0.0,0.0
2013-06-23,NVDA,2,0.0,0.0
2013-06-24,NVDA,4,0.0,0.0
2013-06-25,NVDA,5,0.0,0.0
2013-06-26,NVDA,3,0.0,0.0
2013-06-28,NVDA,1,0.0,0.0
2013-06-29,NVDA,1,0.0,0.0
2013-06-30,NVDA,1,0.0,0.0
2013-07-01,NVDA,2,0.0,0.0
2013-07-02,NVDA,2,0.0,0.0
2013-07-03,NVDA,3,0.0,0.0
2013-07-04,NVDA,1,0.0,0.0
2013-07-05,NVDA,2,0.0,0.0
2013-07-06,NVDA,4,0.0,0.0
2013-07-07,NVDA,1,0.0,0.0
2013-07-08,NVDA,3,0.0,0.0
2013-07-09,NVDA,1,0.0,0.0
2013-07-10,NVDA,2,0.0,0.0
2013-07-11,NVDA,2,0.0,0.0
2013-07-12,NVDA,3,0.0,0.0
2013-07-14,NVDA,1,0.0,0.0
2013-07-15,NVDA,1,0.0,0.0
2013-07-16,NVDA,1,0.0,0.0
2013-07-17,NVDA,5,0.0,0.0
2013-07-18,NVDA,1,0.0,0.0
2013-07-19,NVDA,2,0.0,0.0
2013-07-21,NVDA,1,0.0,0.0
